ward,precinct,office,district,party,candidate,votes
2,6,President,,REP,MIKE HUCKABEE ,23
2,6,President,,REP,MITT ROMNEY ,12
2,6,President,,REP,JOHN MCCAIN ,113
2,6,President,,REP,RON PAUL ,9
2,6,President,,REP,RUDY GIULIANI ,0
2,6,President,,REP,Total,157
3,7,President,,DEM,BILL RICHARDSON ,2
3,7,President,,DEM,JOHN EDWARDS ,2
3,7,President,,DEM,DENNIS J. KUCINICH ,3
3,7,President,,DEM,HILLARY CLINTON ,173
3,7,President,,DEM,BARACK OBAMA ,361
3,7,President,,DEM,UNCOMMITTED ,1
3,7,President,,DEM,Write-ins,2
3,7,President,,DEM,Total,544
3,7,President,,REP,MIKE HUCKABEE ,17
3,7,President,,REP,MITT ROMNEY ,6
3,7,President,,REP,JOHN MCCAIN ,67
3,7,President,,REP,RON PAUL ,6
3,7,President,,REP,RUDY GIULIANI ,2
3,7,President,,REP,Total,98
3,8,President,,DEM,BILL RICHARDSON ,0
3,8,President,,DEM,JOHN EDWARDS ,4
3,8,President,,DEM,DENNIS J. KUCINICH ,3
3,8,President,,DEM,HILLARY CLINTON ,450
3,8,President,,DEM,BARACK OBAMA ,733
3,8,President,,DEM,UNCOMMITTED ,9
3,8,President,,DEM,Write-ins,0
3,8,President,,DEM,Total,1199
3,8,President,,REP,MIKE HUCKABEE ,21
3,8,President,,REP,MITT ROMNEY ,12
3,8,President,,REP,JOHN MCCAIN ,165
3,8,President,,REP,RON PAUL ,13
3,8,President,,REP,RUDY GIULIANI ,1
3,8,President,,REP,Total,212
3,9,President,,DEM,BILL RICHARDSON ,2
3,9,President,,DEM,JOHN EDWARDS ,3
3,9,President,,DEM,DENNIS J. KUCINICH ,2
3,9,President,,DEM,HILLARY CLINTON ,187
3,9,President,,DEM,BARACK OBAMA ,307
3,9,President,,DEM,UNCOMMITTED ,3
3,9,President,,DEM,Write-ins,0
3,9,President,,DEM,Total,504
3,9,President,,REP,MIKE HUCKABEE ,6
3,9,President,,REP,MITT ROMNEY ,10
3,9,President,,REP,JOHN MCCAIN ,134
3,9,President,,REP,RON PAUL ,4
3,9,President,,REP,RUDY GIULIANI ,1
3,9,President,,REP,Total,155
3,10,President,,DEM,BILL RICHARDSON ,1
3,10,President,,DEM,JOHN EDWARDS ,2
3,10,President,,DEM,DENNIS J. KUCINICH ,0
3,10,President,,DEM,HILLARY CLINTON ,389
3,10,President,,DEM,BARACK OBAMA ,531
3,10,President,,DEM,UNCOMMITTED ,5
3,10,President,,DEM,Write-ins,2
3,10,President,,DEM,Total,930
3,10,President,,REP,MIKE HUCKABEE ,13
3,10,President,,REP,MITT ROMNEY ,13
3,10,President,,REP,JOHN MCCAIN ,104
3,10,President,,REP,RON PAUL ,4
3,10,President,,REP,RUDY GIULIANI ,1
3,10,President,,REP,Total,135
3,11,President,,DEM,BILL RICHARDSON ,2
3,11,President,,DEM,JOHN EDWARDS ,2
3,11,President,,DEM,DENNIS J. KUCINICH ,3
3,11,President,,DEM,HILLARY CLINTON ,521
3,11,President,,DEM,BARACK OBAMA ,936
3,11,President,,DEM,UNCOMMITTED ,2
3,11,President,,DEM,Write-ins,2
3,11,President,,DEM,Total,1468
3,11,President,,REP,MIKE HUCKABEE ,20
3,11,President,,REP,MITT ROMNEY ,9
3,11,President,,REP,JOHN MCCAIN ,128
3,11,President,,REP,RON PAUL ,13
3,11,President,,REP,RUDY GIULIANI ,3
3,11,President,,REP,Total,173
3,12,President,,DEM,BILL RICHARDSON ,1
3,12,President,,DEM,JOHN EDWARDS ,1
3,12,President,,DEM,DENNIS J. KUCINICH ,0
3,12,President,,DEM,HILLARY CLINTON ,92
3,12,President,,DEM,BARACK OBAMA ,151
3,12,President,,DEM,UNCOMMITTED ,0
3,12,President,,DEM,Write-ins,2
3,12,President,,DEM,Total,247
3,12,President,,REP,MIKE HUCKABEE ,5
3,12,President,,REP,MITT ROMNEY ,7
3,12,President,,REP,JOHN MCCAIN ,46
3,12,President,,REP,RON PAUL ,2
3,12,President,,REP,RUDY GIULIANI ,0
3,12,President,,REP,Total,60
2,13,President,,DEM,BILL RICHARDSON ,0
2,13,President,,DEM,JOHN EDWARDS ,2
2,13,President,,DEM,DENNIS J. KUCINICH ,1
2,13,President,,DEM,HILLARY CLINTON ,216
2,13,President,,DEM,BARACK OBAMA ,403
2,13,President,,DEM,UNCOMMITTED ,0
2,13,President,,DEM,Write-ins,1
2,13,President,,DEM,Total,623
2,13,President,,REP,MIKE HUCKABEE ,7
2,13,President,,REP,MITT ROMNEY ,5
2,13,President,,REP,JOHN MCCAIN ,55
2,13,President,,REP,RON PAUL ,2
2,13,President,,REP,RUDY GIULIANI ,1
2,13,President,,REP,Total,70
2,14,President,,DEM,BILL RICHARDSON ,2
2,14,President,,DEM,JOHN EDWARDS ,12
2,14,President,,DEM,DENNIS J. KUCINICH ,0
2,14,President,,DEM,HILLARY CLINTON ,427
2,14,President,,DEM,BARACK OBAMA ,695
2,14,President,,DEM,UNCOMMITTED ,0
2,14,President,,DEM,Write-ins,0
2,14,President,,DEM,Total,1136
2,14,President,,REP,MIKE HUCKABEE ,11
2,14,President,,REP,MITT ROMNEY ,5
2,14,President,,REP,JOHN MCCAIN ,71
2,14,President,,REP,RON PAUL ,14
2,14,President,,REP,RUDY GIULIANI ,1
2,14,President,,REP,Total,102
2,15,President,,DEM,BILL RICHARDSON ,5
2,15,President,,DEM,JOHN EDWARDS ,9
2,15,President,,DEM,DENNIS J. KUCINICH ,2
2,15,President,,DEM,HILLARY CLINTON ,546
2,15,President,,DEM,BARACK OBAMA ,787
2,15,President,,DEM,UNCOMMITTED ,2
2,15,President,,DEM,Write-ins,2
2,15,President,,DEM,Total,1353
2,15,President,,REP,MIKE HUCKABEE ,4
2,15,President,,REP,MITT ROMNEY ,2
2,15,President,,REP,JOHN MCCAIN ,64
2,15,President,,REP,RON PAUL ,6
2,15,President,,REP,RUDY GIULIANI ,0
2,15,President,,REP,Total,76
2,16,President,,DEM,BILL RICHARDSON ,3
2,16,President,,DEM,JOHN EDWARDS ,6
2,16,President,,DEM,DENNIS J. KUCINICH ,5
2,16,President,,DEM,HILLARY CLINTON ,507
2,16,President,,DEM,BARACK OBAMA ,744
2,16,President,,DEM,UNCOMMITTED ,3
2,16,President,,DEM,Write-ins,4
2,16,President,,DEM,Total,1272
2,16,President,,REP,MIKE HUCKABEE ,14
2,16,President,,REP,MITT ROMNEY ,4
2,16,President,,REP,JOHN MCCAIN ,45
2,16,President,,REP,RON PAUL ,6
2,16,President,,REP,RUDY GIULIANI ,0
2,16,President,,REP,Total,69
2,17,President,,DEM,BILL RICHARDSON ,2
2,17,President,,DEM,JOHN EDWARDS ,7
2,17,President,,DEM,DENNIS J. KUCINICH ,5
2,17,President,,DEM,HILLARY CLINTON ,574
2,17,President,,DEM,BARACK OBAMA ,932
2,17,President,,DEM,UNCOMMITTED ,4
2,17,President,,DEM,Write-ins,3
2,17,President,,DEM,Total,1527
2,17,President,,REP,MIKE HUCKABEE ,22
2,17,President,,REP,MITT ROMNEY ,5
2,17,President,,REP,JOHN MCCAIN ,101
2,17,President,,REP,RON PAUL ,19
2,17,President,,REP,RUDY GIULIANI ,2
2,17,President,,REP,Total,149
2,18,President,,DEM,BILL RICHARDSON ,0
2,18,President,,DEM,JOHN EDWARDS ,1
2,18,President,,DEM,DENNIS J. KUCINICH ,2
2,18,President,,DEM,HILLARY CLINTON ,284
2,18,President,,DEM,BARACK OBAMA ,871
2,18,President,,DEM,UNCOMMITTED ,5
2,18,President,,DEM,Write-ins,1
2,18,President,,DEM,Total,1164
2,18,President,,REP,MIKE HUCKABEE ,11
2,18,President,,REP,MITT ROMNEY ,2
2,18,President,,REP,JOHN MCCAIN ,22
2,18,President,,REP,RON PAUL ,3
2,18,President,,REP,RUDY GIULIANI ,0
2,18,President,,REP,Total,38
5,19,President,,DEM,BILL RICHARDSON ,1
5,19,President,,DEM,JOHN EDWARDS ,2
5,19,President,,DEM,DENNIS J. KUCINICH ,0
5,19,President,,DEM,HILLARY CLINTON ,195
5,19,President,,DEM,BARACK OBAMA ,952
5,19,President,,DEM,UNCOMMITTED ,3
5,19,President,,DEM,Write-ins,0
5,19,President,,DEM,Total,1153
5,19,President,,REP,MIKE HUCKABEE ,4
5,19,President,,REP,MITT ROMNEY ,2
5,19,President,,REP,JOHN MCCAIN ,10
5,19,President,,REP,RON PAUL ,3
5,19,President,,REP,RUDY GIULIANI ,0
5,19,President,,REP,Total,19
1,20,President,,DEM,BILL RICHARDSON ,0
1,20,President,,DEM,JOHN EDWARDS ,0
1,20,President,,DEM,DENNIS J. KUCINICH ,0
1,20,President,,DEM,HILLARY CLINTON ,53
1,20,President,,DEM,BARACK OBAMA ,266
1,20,President,,DEM,UNCOMMITTED ,2
1,20,President,,DEM,Write-ins,1
1,20,President,,DEM,Total,322
1,20,President,,REP,MIKE HUCKABEE ,0
1,20,President,,REP,MITT ROMNEY ,0
1,20,President,,REP,JOHN MCCAIN ,4
1,20,President,,REP,RON PAUL ,2
1,20,President,,REP,RUDY GIULIANI ,0
1,20,President,,REP,Total,6
2,21,President,,DEM,BILL RICHARDSON ,3
2,21,President,,DEM,JOHN EDWARDS ,1
2,21,President,,DEM,DENNIS J. KUCINICH ,0
2,21,President,,DEM,HILLARY CLINTON ,136
2,21,President,,DEM,BARACK OBAMA ,346
2,21,President,,DEM,UNCOMMITTED ,0
2,21,President,,DEM,Write-ins,1
2,21,President,,DEM,Total,487
2,21,President,,REP,MIKE HUCKABEE ,3
2,21,President,,REP,MITT ROMNEY ,0
2,21,President,,REP,JOHN MCCAIN ,12
2,21,President,,REP,RON PAUL ,3
2,21,President,,REP,RUDY GIULIANI ,0
2,21,President,,REP,Total,18
1,22,President,,DEM,BILL RICHARDSON ,0
1,22,President,,DEM,JOHN EDWARDS ,0
1,22,President,,DEM,DENNIS J. KUCINICH ,1
1,22,President,,DEM,HILLARY CLINTON ,358
1,22,President,,DEM,BARACK OBAMA ,788
1,22,President,,DEM,UNCOMMITTED ,0
1,22,President,,DEM,Write-ins,0
1,22,President,,DEM,Total,1147
1,22,President,,REP,MIKE HUCKABEE ,5
1,22,President,,REP,MITT ROMNEY ,2
1,22,President,,REP,JOHN MCCAIN ,27
1,22,President,,REP,RON PAUL ,8
1,22,President,,REP,RUDY GIULIANI ,0
1,22,President,,REP,Total,42
1,23,President,,DEM,BILL RICHARDSON ,2
1,23,President,,DEM,JOHN EDWARDS ,2
1,23,President,,DEM,DENNIS J. KUCINICH ,1
1,23,President,,DEM,HILLARY CLINTON ,169
1,23,President,,DEM,BARACK OBAMA ,599
1,23,President,,DEM,UNCOMMITTED ,1
1,23,President,,DEM,Write-ins,1
1,23,President,,DEM,Total,775
1,23,President,,REP,MIKE HUCKABEE ,5
1,23,President,,REP,MITT ROMNEY ,1
1,23,President,,REP,JOHN MCCAIN ,16
1,23,President,,REP,RON PAUL ,2
1,23,President,,REP,RUDY GIULIANI ,1
1,23,President,,REP,Total,25
1,24,President,,DEM,BILL RICHARDSON ,2
1,24,President,,DEM,JOHN EDWARDS ,1
1,24,President,,DEM,DENNIS J. KUCINICH ,0
1,24,President,,DEM,HILLARY CLINTON ,305
1,24,President,,DEM,BARACK OBAMA ,627
1,24,President,,DEM,UNCOMMITTED ,3
1,24,President,,DEM,Write-ins,1
1,24,President,,DEM,Total,939
1,24,President,,REP,MIKE HUCKABEE ,4
1,24,President,,REP,MITT ROMNEY ,1
1,24,President,,REP,JOHN MCCAIN ,30
1,24,President,,REP,RON PAUL ,5
1,24,President,,REP,RUDY GIULIANI ,2
1,24,President,,REP,Total,42
1,25,President,,DEM,BILL RICHARDSON ,1
1,25,President,,DEM,JOHN EDWARDS ,11
1,25,President,,DEM,DENNIS J. KUCINICH ,3
1,25,President,,DEM,HILLARY CLINTON ,616
1,25,President,,DEM,BARACK OBAMA ,1159
1,25,President,,DEM,UNCOMMITTED ,3
1,25,President,,DEM,Write-ins,1
1,25,President,,DEM,Total,1794
1,25,President,,REP,MIKE HUCKABEE ,13
1,25,President,,REP,MITT ROMNEY ,7
1,25,President,,REP,JOHN MCCAIN ,84
1,25,President,,REP,RON PAUL ,11
1,25,President,,REP,RUDY GIULIANI ,5
1,25,President,,REP,Total,120
3,26,President,,DEM,BILL RICHARDSON ,2
3,26,President,,DEM,JOHN EDWARDS ,2
3,26,President,,DEM,DENNIS J. KUCINICH ,2
3,26,President,,DEM,HILLARY CLINTON ,493
3,26,President,,DEM,BARACK OBAMA ,814
3,26,President,,DEM,UNCOMMITTED ,1
3,26,President,,DEM,Write-ins,2
3,26,President,,DEM,Total,1316
3,26,President,,REP,MIKE HUCKABEE ,5
3,26,President,,REP,MITT ROMNEY ,9
3,26,President,,REP,JOHN MCCAIN ,90
3,26,President,,REP,RON PAUL ,8
3,26,President,,REP,RUDY GIULIANI ,1
3,26,President,,REP,Total,113
3,27,President,,DEM,BILL RICHARDSON ,0
3,27,President,,DEM,JOHN EDWARDS ,5
3,27,President,,DEM,DENNIS J. KUCINICH ,5
3,27,President,,DEM,HILLARY CLINTON ,445
3,27,President,,DEM,BARACK OBAMA ,818
3,27,President,,DEM,UNCOMMITTED ,0
3,27,President,,DEM,Write-ins,5
3,27,President,,DEM,Total,1278
3,27,President,,REP,MIKE HUCKABEE ,7
3,27,President,,REP,MITT ROMNEY ,3
3,27,President,,REP,JOHN MCCAIN ,62
3,27,President,,REP,RON PAUL ,10
3,27,President,,REP,RUDY GIULIANI ,1
3,27,President,,REP,Total,83
3,28,President,,DEM,BILL RICHARDSON ,8
3,28,President,,DEM,JOHN EDWARDS ,6
3,28,President,,DEM,DENNIS J. KUCINICH ,2
3,28,President,,DEM,HILLARY CLINTON ,473
3,28,President,,DEM,BARACK OBAMA ,633
3,28,President,,DEM,UNCOMMITTED ,3
3,28,President,,DEM,Write-ins,0
3,28,President,,DEM,Total,1125
3,28,President,,REP,MIKE HUCKABEE ,19
3,28,President,,REP,MITT ROMNEY ,11
3,28,President,,REP,JOHN MCCAIN ,138
3,28,President,,REP,RON PAUL ,13
3,28,President,,REP,RUDY GIULIANI ,2
3,28,President,,REP,Total,183
3,29,President,,DEM,BILL RICHARDSON ,0
3,29,President,,DEM,JOHN EDWARDS ,2
3,29,President,,DEM,DENNIS J. KUCINICH ,0
3,29,President,,DEM,HILLARY CLINTON ,235
3,29,President,,DEM,BARACK OBAMA ,364
3,29,President,,DEM,UNCOMMITTED ,1
3,29,President,,DEM,Write-ins,0
3,29,President,,DEM,Total,602
3,29,President,,REP,MIKE HUCKABEE ,6
3,29,President,,REP,MITT ROMNEY ,7
3,29,President,,REP,JOHN MCCAIN ,48
3,29,President,,REP,RON PAUL ,3
3,29,President,,REP,RUDY GIULIANI ,1
3,29,President,,REP,Total,65
3,30,President,,DEM,BILL RICHARDSON ,4
3,30,President,,DEM,JOHN EDWARDS ,6
3,30,President,,DEM,DENNIS J. KUCINICH ,0
3,30,President,,DEM,HILLARY CLINTON ,257
3,30,President,,DEM,BARACK OBAMA ,412
3,30,President,,DEM,UNCOMMITTED ,0
3,30,President,,DEM,Write-ins,8
3,30,President,,DEM,Total,687
3,30,President,,REP,MIKE HUCKABEE ,16
3,30,President,,REP,MITT ROMNEY ,6
3,30,President,,REP,JOHN MCCAIN ,59
3,30,President,,REP,RON PAUL ,6
3,30,President,,REP,RUDY GIULIANI ,1
3,30,President,,REP,Total,88
3,31,President,,DEM,BILL RICHARDSON ,0
3,31,President,,DEM,JOHN EDWARDS ,6
3,31,President,,DEM,DENNIS J. KUCINICH ,2
3,31,President,,DEM,HILLARY CLINTON ,453
3,31,President,,DEM,BARACK OBAMA ,781
3,31,President,,DEM,UNCOMMITTED ,0
3,31,President,,DEM,Write-ins,2
3,31,President,,DEM,Total,1244
3,31,President,,REP,MIKE HUCKABEE ,14
3,31,President,,REP,MITT ROMNEY ,7
3,31,President,,REP,JOHN MCCAIN ,68
3,31,President,,REP,RON PAUL ,11
3,31,President,,REP,RUDY GIULIANI ,1
3,31,President,,REP,Total,101
3,32,President,,DEM,BILL RICHARDSON ,5
3,32,President,,DEM,JOHN EDWARDS ,10
3,32,President,,DEM,DENNIS J. KUCINICH ,4
3,32,President,,DEM,HILLARY CLINTON ,439
3,32,President,,DEM,BARACK OBAMA ,825
3,32,President,,DEM,UNCOMMITTED ,3
3,32,President,,DEM,Write-ins,3
3,32,President,,DEM,Total,1289
3,32,President,,REP,MIKE HUCKABEE ,13
3,32,President,,REP,MITT ROMNEY ,4
3,32,President,,REP,JOHN MCCAIN ,73
3,32,President,,REP,RON PAUL ,5
3,32,President,,REP,RUDY GIULIANI ,2
3,32,President,,REP,Total,97
3,33,President,,DEM,BILL RICHARDSON ,6
3,33,President,,DEM,JOHN EDWARDS ,3
3,33,President,,DEM,DENNIS J. KUCINICH ,3
3,33,President,,DEM,HILLARY CLINTON ,523
3,33,President,,DEM,BARACK OBAMA ,865
3,33,President,,DEM,UNCOMMITTED ,3
3,33,President,,DEM,Write-ins,1
3,33,President,,DEM,Total,1404
3,33,President,,REP,MIKE HUCKABEE ,11
3,33,President,,REP,MITT ROMNEY ,10
3,33,President,,REP,JOHN MCCAIN ,67
3,33,President,,REP,RON PAUL ,9
3,33,President,,REP,RUDY GIULIANI ,0
3,33,President,,REP,Total,97
3,34,President,,DEM,BILL RICHARDSON ,2
3,34,President,,DEM,JOHN EDWARDS ,10
3,34,President,,DEM,DENNIS J. KUCINICH ,6
3,34,President,,DEM,HILLARY CLINTON ,636
3,34,President,,DEM,BARACK OBAMA ,981
3,34,President,,DEM,UNCOMMITTED ,2
3,34,President,,DEM,Write-ins,1
3,34,President,,DEM,Total,1638
3,34,President,,REP,MIKE HUCKABEE ,14
3,34,President,,REP,MITT ROMNEY ,13
3,34,President,,REP,JOHN MCCAIN ,94
3,34,President,,REP,RON PAUL ,16
3,34,President,,REP,RUDY GIULIANI ,2
3,34,President,,REP,Total,139
1,35,President,,DEM,BILL RICHARDSON ,1
1,35,President,,DEM,JOHN EDWARDS ,1
1,35,President,,DEM,DENNIS J. KUCINICH ,3
1,35,President,,DEM,HILLARY CLINTON ,415
1,35,President,,DEM,BARACK OBAMA ,947
1,35,President,,DEM,UNCOMMITTED ,4
1,35,President,,DEM,Write-ins,0
1,35,President,,DEM,Total,1371
1,35,President,,REP,MIKE HUCKABEE ,4
1,35,President,,REP,MITT ROMNEY ,2
1,35,President,,REP,JOHN MCCAIN ,23
1,35,President,,REP,RON PAUL ,1
1,35,President,,REP,RUDY GIULIANI ,1
1,35,President,,REP,Total,31
1,36,President,,DEM,BILL RICHARDSON ,1
1,36,President,,DEM,JOHN EDWARDS ,1
1,36,President,,DEM,DENNIS J. KUCINICH ,4
1,36,President,,DEM,HILLARY CLINTON ,291
1,36,President,,DEM,BARACK OBAMA ,821
1,36,President,,DEM,UNCOMMITTED ,1
1,36,President,,DEM,Write-ins,0
1,36,President,,DEM,Total,1119
1,36,President,,REP,MIKE HUCKABEE ,2
1,36,President,,REP,MITT ROMNEY ,4
1,36,President,,REP,JOHN MCCAIN ,24
1,36,President,,REP,RON PAUL ,0
1,36,President,,REP,RUDY GIULIANI ,0
1,36,President,,REP,Total,30
1,37,President,,DEM,BILL RICHARDSON ,0
1,37,President,,DEM,JOHN EDWARDS ,1
1,37,President,,DEM,DENNIS J. KUCINICH ,2
1,37,President,,DEM,HILLARY CLINTON ,133
1,37,President,,DEM,BARACK OBAMA ,660
1,37,President,,DEM,UNCOMMITTED ,2
1,37,President,,DEM,Write-ins,0
1,37,President,,DEM,Total,798
1,37,President,,REP,MIKE HUCKABEE ,2
1,37,President,,REP,MITT ROMNEY ,0
1,37,President,,REP,JOHN MCCAIN ,12
1,37,President,,REP,RON PAUL ,7
1,37,President,,REP,RUDY GIULIANI ,1
1,37,President,,REP,Total,22
1,38,President,,DEM,BILL RICHARDSON ,0
1,38,President,,DEM,JOHN EDWARDS ,1
1,38,President,,DEM,DENNIS J. KUCINICH ,1
1,38,President,,DEM,HILLARY CLINTON ,157
1,38,President,,DEM,BARACK OBAMA ,557
1,38,President,,DEM,UNCOMMITTED ,0
1,38,President,,DEM,Write-ins,0
1,38,President,,DEM,Total,716
1,38,President,,REP,MIKE HUCKABEE ,7
1,38,President,,REP,MITT ROMNEY ,1
1,38,President,,REP,JOHN MCCAIN ,12
1,38,President,,REP,RON PAUL ,5
1,38,President,,REP,RUDY GIULIANI ,0
1,38,President,,REP,Total,25
1,39,President,,DEM,BILL RICHARDSON ,0
1,39,President,,DEM,JOHN EDWARDS ,6
1,39,President,,DEM,DENNIS J. KUCINICH ,7
1,39,President,,DEM,HILLARY CLINTON ,365
1,39,President,,DEM,BARACK OBAMA ,853
1,39,President,,DEM,UNCOMMITTED ,1
1,39,President,,DEM,Write-ins,2
1,39,President,,DEM,Total,1234
1,39,President,,REP,MIKE HUCKABEE ,2
1,39,President,,REP,MITT ROMNEY ,0
1,39,President,,REP,JOHN MCCAIN ,31
1,39,President,,REP,RON PAUL ,5
1,39,President,,REP,RUDY GIULIANI ,2
1,39,President,,REP,Total,40
1,40,President,,DEM,BILL RICHARDSON ,4
1,40,President,,DEM,JOHN EDWARDS ,7
1,40,President,,DEM,DENNIS J. KUCINICH ,11
1,40,President,,DEM,HILLARY CLINTON ,385
1,40,President,,DEM,BARACK OBAMA ,949
1,40,President,,DEM,UNCOMMITTED ,3
1,40,President,,DEM,Write-ins,2
1,40,President,,DEM,Total,1361
1,40,President,,REP,MIKE HUCKABEE ,9
1,40,President,,REP,MITT ROMNEY ,1
1,40,President,,REP,JOHN MCCAIN ,23
1,40,President,,REP,RON PAUL ,12
1,40,President,,REP,RUDY GIULIANI ,0
1,40,President,,REP,Total,45
1,41,President,,DEM,BILL RICHARDSON ,3
1,41,President,,DEM,JOHN EDWARDS ,1
1,41,President,,DEM,DENNIS J. KUCINICH ,4
1,41,President,,DEM,HILLARY CLINTON ,213
1,41,President,,DEM,BARACK OBAMA ,596
1,41,President,,DEM,UNCOMMITTED ,3
1,41,President,,DEM,Write-ins,0
1,41,President,,DEM,Total,820
1,41,President,,REP,MIKE HUCKABEE ,3
1,41,President,,REP,MITT ROMNEY ,2
1,41,President,,REP,JOHN MCCAIN ,10
1,41,President,,REP,RON PAUL ,2
1,41,President,,REP,RUDY GIULIANI ,0
1,41,President,,REP,Total,17
1,42,President,,DEM,BILL RICHARDSON ,0
1,42,President,,DEM,JOHN EDWARDS ,1
1,42,President,,DEM,DENNIS J. KUCINICH ,0
1,42,President,,DEM,HILLARY CLINTON ,146
1,42,President,,DEM,BARACK OBAMA ,425
1,42,President,,DEM,UNCOMMITTED ,0
1,42,President,,DEM,Write-ins,0
1,42,President,,DEM,Total,572
1,42,President,,REP,MIKE HUCKABEE ,5
1,42,President,,REP,MITT ROMNEY ,0
1,42,President,,REP,JOHN MCCAIN ,8
1,42,President,,REP,RON PAUL ,2
1,42,President,,REP,RUDY GIULIANI ,0
1,42,President,,REP,Total,15
1,43,President,,DEM,BILL RICHARDSON ,0
1,43,President,,DEM,JOHN EDWARDS ,1
1,43,President,,DEM,DENNIS J. KUCINICH ,2
1,43,President,,DEM,HILLARY CLINTON ,92
1,43,President,,DEM,BARACK OBAMA ,431
1,43,President,,DEM,UNCOMMITTED ,4
1,43,President,,DEM,Write-ins,0
1,43,President,,DEM,Total,530
1,43,President,,REP,MIKE HUCKABEE ,4
1,43,President,,REP,MITT ROMNEY ,0
1,43,President,,REP,JOHN MCCAIN ,4
1,43,President,,REP,RON PAUL ,2
1,43,President,,REP,RUDY GIULIANI ,0
1,43,President,,REP,Total,10
5,44,President,,DEM,BILL RICHARDSON ,0
5,44,President,,DEM,JOHN EDWARDS ,1
5,44,President,,DEM,DENNIS J. KUCINICH ,1
5,44,President,,DEM,HILLARY CLINTON ,140
5,44,President,,DEM,BARACK OBAMA ,761
5,44,President,,DEM,UNCOMMITTED ,2
5,44,President,,DEM,Write-ins,0
5,44,President,,DEM,Total,905
5,44,President,,REP,MIKE HUCKABEE ,15
5,44,President,,REP,MITT ROMNEY ,3
5,44,President,,REP,JOHN MCCAIN ,22
5,44,President,,REP,RON PAUL ,4
5,44,President,,REP,RUDY GIULIANI ,1
5,44,President,,REP,Total,45
4,45,President,,DEM,BILL RICHARDSON ,0
4,45,President,,DEM,JOHN EDWARDS ,1
