Precinct 1,"",""
Registration & Turnout ,"","3,373"
REP - CAROL SCHWARTZ ,1025 ,33.53%
SGN - LAURENT ROSS ,361 ,11.81%
DEM - KWAME R. BROWN ,1433 ,46.88%
IND - A.D. ''TONY'' DOMINGUEZ ,208 ,6.80%
"Write In, if any ",30 ,0.98%
Total... ,"3,057 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,1703 ,82.07%
SGN - JAY HOUSTON MARX ,212 ,10.22%
"REP - JESSE JAMES PRICE, SR. ",156 ,7.52%
"Write In, if any ",4 ,0.19%
Total... ,"2,075 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1485 ,78.20%
SGN - ADAM EIDINGER ,386 ,20.33%
"Write In, if any ",28 ,1.47%
Total... ,"1,899 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,626 ,37.78%
ELEANOR JOHNSON ,384 ,23.17%
CHRISTOPHER McKEON ,186 ,11.23%
KEENAN KELLER ,435 ,26.25%
"Write In, if any ",26 ,1.57%
Total... ,"1,657 ",100.00%
Precinct 17,"",""
Registration & Turnout ,"","4,874"
Election Day Turnout ,2445 ,50.16%
Absentee Turnout ,364 ,7.47%
Total... ,"2,809 ",57.63%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2374 ,86.01%
SGN - COBB/LaMARCHE ,11 ,0.40%
LIB - BADNARIK/CAMPAGNA ,12 ,0.43%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,330 ,11.96%
IND - NADER/CAMEJO ,25 ,0.91%
"Write In, if any ",8 ,0.29%
Total... ,"2,760 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2363 ,87.97%
REP - MICHAEL ANDREW MONROE ,310 ,11.54%
"Write In, if any ",13 ,0.48%
Total... ,"2,686 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1266 ,33.37%
SGN - LAURENT ROSS ,391 ,10.31%
DEM - KWAME R. BROWN ,1802 ,47.50%
IND - A.D. ''TONY'' DOMINGUEZ ,313 ,8.25%
"Write In, if any ",22 ,0.58%
Total... ,"3,794 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,2164 ,83.07%
SGN - JAY HOUSTON MARX ,217 ,8.33%
"REP - JESSE JAMES PRICE, SR. ",213 ,8.18%
"Write In, if any ",11 ,0.42%
Total... ,"2,605 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1933 ,80.78%
SGN - ADAM EIDINGER ,437 ,18.26%
"Write In, if any ",23 ,0.96%
Total... ,"2,393 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,840 ,38.43%
ELEANOR JOHNSON ,378 ,17.29%
CHRISTOPHER McKEON ,197 ,9.01%
KEENAN KELLER ,752 ,34.40%
"Write In, if any ",19 ,0.87%
Total... ,"2,186 ",100.00%
Precinct 18,"",""
Registration & Turnout ,"","4,190"
Election Day Turnout ,1890 ,45.11%
Absentee Turnout ,242 ,5.78%
Total... ,"2,132 ",50.88%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1959 ,93.29%
SGN - COBB/LaMARCHE ,10 ,0.48%
LIB - BADNARIK/CAMPAGNA ,5 ,0.24%
SWP - HARRIS/TROWE ,1 ,0.05%
REP - BUSH/CHENEY ,104 ,4.95%
IND - NADER/CAMEJO ,18 ,0.86%
"Write In, if any ",3 ,0.14%
Total... ,"2,100 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1945 ,95.11%
REP - MICHAEL ANDREW MONROE ,94 ,4.60%
"Write In, if any ",6 ,0.29%
Total... ,"2,045 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,697 ,25.94%
SGN - LAURENT ROSS ,256 ,9.53%
DEM - KWAME R. BROWN ,1590 ,59.17%
IND - A.D. ''TONY'' DOMINGUEZ ,132 ,4.91%
"Write In, if any ",12 ,0.45%
Total... ,"2,687 ",100.00%
WARD TWO MEMBER OF THE COUNCIL ,"",(Final)
DEM - JACK EVANS ,1783 ,88.66%
SGN - JAY HOUSTON MARX ,148 ,7.36%
"REP - JESSE JAMES PRICE, SR. ",69 ,3.43%
"Write In, if any ",11 ,0.55%
Total... ,"2,011 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1652 ,86.90%
SGN - ADAM EIDINGER ,239 ,12.57%
"Write In, if any ",10 ,0.53%
Total... ,"1,901 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,895 ,50.08%
ELEANOR JOHNSON ,444 ,24.85%
CHRISTOPHER McKEON ,101 ,5.65%
KEENAN KELLER ,336 ,18.80%
"Write In, if any ",11 ,0.62%
Total... ,"1,787 ",100.00%
Precinct 19,"",""
Registration & Turnout ,"","3,799"
Election Day Turnout ,1853 ,48.78%
Absentee Turnout ,172 ,4.53%
Total... ,"2,025 ",53.30%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1887 ,94.21%
SGN - COBB/LaMARCHE ,9 ,0.45%
LIB - BADNARIK/CAMPAGNA ,4 ,0.20%
SWP - HARRIS/TROWE ,1 ,0.05%
REP - BUSH/CHENEY ,89 ,4.44%
IND - NADER/CAMEJO ,10 ,0.50%
"Write In, if any ",3 ,0.15%
Total... ,"2,003 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1904 ,96.02%
REP - MICHAEL ANDREW MONROE ,72 ,3.63%
"Write In, if any ",7 ,0.35%
Total... ,"1,983 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,618 ,24.32%
SGN - LAURENT ROSS ,184 ,7.24%
DEM - KWAME R. BROWN ,1617 ,63.64%
IND - A.D. ''TONY'' DOMINGUEZ ,111 ,4.37%
"Write In, if any ",11 ,0.43%
Total... ,"2,541 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1620 ,87.85%
SGN - ADAM EIDINGER ,216 ,11.71%
"Write In, if any ",8 ,0.43%
Total... ,"1,844 ",100.00%
Precinct 20,"",""
Registration & Turnout ,"","1,814"
Election Day Turnout ,764 ,42.12%
Absentee Turnout ,98 ,5.40%
Total... ,862 ,47.52%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,816 ,95.44%
SGN - COBB/LaMARCHE ,3 ,0.35%
LIB - BADNARIK/CAMPAGNA ,2 ,0.23%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,27 ,3.16%
IND - NADER/CAMEJO ,6 ,0.70%
"Write In, if any ",1 ,0.12%
Total... ,855 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,789 ,97.65%
REP - MICHAEL ANDREW MONROE ,18 ,2.23%
"Write In, if any ",1 ,0.12%
Total... ,808 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,162 ,15.18%
SGN - LAURENT ROSS ,83 ,7.78%
DEM - KWAME R. BROWN ,734 ,68.79%
IND - A.D. ''TONY'' DOMINGUEZ ,81 ,7.59%
"Write In, if any ",7 ,0.66%
Total... ,"1,067 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,726 ,93.08%
SGN - ADAM EIDINGER ,52 ,6.67%
"Write In, if any ",2 ,0.26%
Total... ,780 ,100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,311 ,42.31%
ELEANOR JOHNSON ,250 ,34.01%
CHRISTOPHER McKEON ,42 ,5.71%
KEENAN KELLER ,125 ,17.01%
"Write In, if any ",7 ,0.95%
Total... ,735 ,100.00%
Precinct 21,"",""
Registration & Turnout ,"","1,616"
Election Day Turnout ,766 ,47.40%
Absentee Turnout ,76 ,4.70%
Total... ,842 ,52.10%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,784 ,93.78%
SGN - COBB/LaMARCHE ,4 ,0.48%
LIB - BADNARIK/CAMPAGNA ,2 ,0.24%
SWP - HARRIS/TROWE ,1 ,0.12%
REP - BUSH/CHENEY ,41 ,4.90%
IND - NADER/CAMEJO ,3 ,0.36%
"Write In, if any ",1 ,0.12%
Total... ,836 ,100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,768 ,94.70%
REP - MICHAEL ANDREW MONROE ,40 ,4.93%
"Write In, if any ",3 ,0.37%
Total... ,811 ,100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,297 ,27.89%
SGN - LAURENT ROSS ,86 ,8.08%
DEM - KWAME R. BROWN ,619 ,58.12%
IND - A.D. ''TONY'' DOMINGUEZ ,53 ,4.98%
"Write In, if any ",10 ,0.94%
Total... ,"1,065 ",100.00%
Precinct 22,"",""
Registration & Turnout ,"","2,651"
Election Day Turnout ,1443 ,54.43%
Absentee Turnout ,295 ,11.13%
Total... ,"1,738 ",65.56%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1563 ,90.50%
SGN - COBB/LaMARCHE ,7 ,0.41%
LIB - BADNARIK/CAMPAGNA ,7 ,0.41%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,130 ,7.53%
IND - NADER/CAMEJO ,15 ,0.87%
"Write In, if any ",5 ,0.29%
Total... ,"1,727 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1523 ,91.86%
REP - MICHAEL ANDREW MONROE ,123 ,7.42%
"Write In, if any ",12 ,0.72%
Total... ,"1,658 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,705 ,29.80%
SGN - LAURENT ROSS ,287 ,12.13%
DEM - KWAME R. BROWN ,1218 ,51.48%
IND - A.D. ''TONY'' DOMINGUEZ ,138 ,5.83%
"Write In, if any ",18 ,0.76%
Total... ,"2,366 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1187 ,79.40%
SGN - ADAM EIDINGER ,299 ,20.00%
"Write In, if any ",9 ,0.60%
Total... ,"1,495 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,481 ,34.16%
ELEANOR JOHNSON ,219 ,15.55%
CHRISTOPHER McKEON ,89 ,6.32%
KEENAN KELLER ,609 ,43.25%
"Write In, if any ",10 ,0.71%
Total... ,"1,408 ",100.00%
Precinct 23,"",""
Registration & Turnout ,"","2,017"
Election Day Turnout ,1074 ,53.25%
Absentee Turnout ,184 ,9.12%
Total... ,"1,258 ",62.37%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1162 ,93.48%
SGN - COBB/LaMARCHE ,8 ,0.64%
LIB - BADNARIK/CAMPAGNA ,3 ,0.24%
SWP - HARRIS/TROWE ,1 ,0.08%
REP - BUSH/CHENEY ,57 ,4.59%
IND - NADER/CAMEJO ,11 ,0.88%
"Write In, if any ",1 ,0.08%
Total... ,"1,243 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1130 ,93.93%
REP - MICHAEL ANDREW MONROE ,68 ,5.65%
"Write In, if any ",5 ,0.42%
Total... ,"1,203 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,358 ,22.17%
SGN - LAURENT ROSS ,169 ,10.46%
DEM - KWAME R. BROWN ,911 ,56.41%
IND - A.D. ''TONY'' DOMINGUEZ ,158 ,9.78%
"Write In, if any ",19 ,1.18%
Total... ,"1,615 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,884 ,82.23%
SGN - ADAM EIDINGER ,184 ,17.12%
"Write In, if any ",7 ,0.65%
Total... ,"1,075 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,603 ,60.00%
ELEANOR JOHNSON ,201 ,20.00%
CHRISTOPHER McKEON ,59 ,5.87%
KEENAN KELLER ,132 ,13.13%
"Write In, if any ",10 ,1.00%
Total... ,"1,005 ",100.00%
Precinct 24,"",""
Registration & Turnout ,"","2,676"
Election Day Turnout ,1484 ,55.46%
Absentee Turnout ,223 ,8.33%
Total... ,"1,707 ",63.79%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1547 ,91.11%
SGN - COBB/LaMARCHE ,12 ,0.71%
LIB - BADNARIK/CAMPAGNA ,10 ,0.59%
SWP - HARRIS/TROWE ,1 ,0.06%
REP - BUSH/CHENEY ,111 ,6.54%
IND - NADER/CAMEJO ,15 ,0.88%
"Write In, if any ",2 ,0.12%
Total... ,"1,698 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1496 ,90.94%
REP - MICHAEL ANDREW MONROE ,140 ,8.51%
"Write In, if any ",9 ,0.55%
Total... ,"1,645 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,790 ,33.50%
SGN - LAURENT ROSS ,261 ,11.07%
DEM - KWAME R. BROWN ,1129 ,47.88%
IND - A.D. ''TONY'' DOMINGUEZ ,150 ,6.36%
"Write In, if any ",28 ,1.19%
Total... ,"2,358 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1067 ,73.18%
SGN - ADAM EIDINGER ,371 ,25.45%
"Write In, if any ",20 ,1.37%
Total... ,"1,458 ",100.00%
DISTRICT I MEMBER OF THE BOARD OF EDU ,"",(Final)
JEFF SMITH ,371 ,27.32%
ELEANOR JOHNSON ,444 ,32.70%
CHRISTOPHER McKEON ,131 ,9.65%
KEENAN KELLER ,396 ,29.16%
"Write In, if any ",16 ,1.18%
Total... ,"1,358 ",100.00%
Precinct 26,"",""
Registration & Turnout ,"","3,801"
Election Day Turnout ,2139 ,56.27%
Absentee Turnout ,650 ,17.10%
Total... ,"2,789 ",73.38%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2316 ,83.28%
SGN - COBB/LaMARCHE ,11 ,0.40%
LIB - BADNARIK/CAMPAGNA ,18 ,0.65%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,389 ,13.99%
IND - NADER/CAMEJO ,28 ,1.01%
"Write In, if any ",19 ,0.68%
Total... ,"2,781 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2277 ,85.38%
REP - MICHAEL ANDREW MONROE ,382 ,14.32%
"Write In, if any ",8 ,0.30%
Total... ,"2,667 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1526 ,39.52%
SGN - LAURENT ROSS ,367 ,9.51%
DEM - KWAME R. BROWN ,1700 ,44.03%
IND - A.D. ''TONY'' DOMINGUEZ ,243 ,6.29%
"Write In, if any ",25 ,0.65%
Total... ,"3,861 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1605 ,76.21%
SGN - ADAM EIDINGER ,472 ,22.41%
"Write In, if any ",29 ,1.38%
Total... ,"2,106 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,53 ,2.42%
HUGH ALLEN ,394 ,18.02%
TOM DAWSON ,62 ,2.84%
DAVID A. JORDAN ,41 ,1.88%
LAURA McGIFFERT SLOVER ,515 ,23.56%
VICTOR REINOSO ,838 ,38.33%
MAI ABDUL RAHMAN ,271 ,12.40%
"Write In, if any ",12 ,0.55%
Total... ,"2,186 ",100.00%
Precinct 27,"",""
Registration & Turnout ,"","3,126"
Election Day Turnout ,1869 ,59.79%
Absentee Turnout ,441 ,14.11%
Total... ,"2,310 ",73.90%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1954 ,85.18%
SGN - COBB/LaMARCHE ,9 ,0.39%
LIB - BADNARIK/CAMPAGNA ,10 ,0.44%
SWP - HARRIS/TROWE ,2 ,0.09%
REP - BUSH/CHENEY ,296 ,12.90%
IND - NADER/CAMEJO ,20 ,0.87%
"Write In, if any ",3 ,0.13%
Total... ,"2,294 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1919 ,86.13%
REP - MICHAEL ANDREW MONROE ,288 ,12.93%
"Write In, if any ",21 ,0.94%
Total... ,"2,228 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1388 ,42.20%
SGN - LAURENT ROSS ,261 ,7.94%
DEM - KWAME R. BROWN ,1441 ,43.81%
IND - A.D. ''TONY'' DOMINGUEZ ,179 ,5.44%
"Write In, if any ",20 ,0.61%
Total... ,"3,289 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1365 ,77.91%
SGN - ADAM EIDINGER ,352 ,20.09%
"Write In, if any ",35 ,2.00%
Total... ,"1,752 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,44 ,2.22%
HUGH ALLEN ,333 ,16.83%
TOM DAWSON ,52 ,2.63%
DAVID A. JORDAN ,24 ,1.21%
LAURA McGIFFERT SLOVER ,751 ,37.95%
VICTOR REINOSO ,652 ,32.95%
MAI ABDUL RAHMAN ,115 ,5.81%
"Write In, if any ",8 ,0.40%
Total... ,"1,979 ",100.00%
Precinct 28,"",""
Registration & Turnout ,"","3,726"
Election Day Turnout ,2249 ,60.36%
Absentee Turnout ,490 ,13.15%
Total... ,"2,739 ",73.51%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,2092 ,76.88%
SGN - COBB/LaMARCHE ,7 ,0.26%
LIB - BADNARIK/CAMPAGNA ,13 ,0.48%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,580 ,21.32%
IND - NADER/CAMEJO ,22 ,0.81%
"Write In, if any ",7 ,0.26%
Total... ,"2,721 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,2051 ,78.73%
REP - MICHAEL ANDREW MONROE ,540 ,20.73%
"Write In, if any ",14 ,0.54%
Total... ,"2,605 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1678 ,44.96%
SGN - LAURENT ROSS ,290 ,7.77%
DEM - KWAME R. BROWN ,1495 ,40.06%
IND - A.D. ''TONY'' DOMINGUEZ ,256 ,6.86%
"Write In, if any ",13 ,0.35%
Total... ,"3,732 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1598 ,79.58%
SGN - ADAM EIDINGER ,388 ,19.32%
"Write In, if any ",22 ,1.10%
Total... ,"2,008 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,96 ,4.56%
HUGH ALLEN ,387 ,18.38%
TOM DAWSON ,181 ,8.60%
DAVID A. JORDAN ,53 ,2.52%
LAURA McGIFFERT SLOVER ,639 ,30.36%
VICTOR REINOSO ,570 ,27.08%
MAI ABDUL RAHMAN ,158 ,7.51%
"Write In, if any ",21 ,1.00%
Total... ,"2,105 ",100.00%
Precinct 29,"",""
Registration & Turnout ,"","1,769"
Election Day Turnout ,1046 ,59.13%
Absentee Turnout ,255 ,14.41%
Total... ,"1,301 ",73.54%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1036 ,80.19%
SGN - COBB/LaMARCHE ,6 ,0.46%
LIB - BADNARIK/CAMPAGNA ,8 ,0.62%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,227 ,17.57%
IND - NADER/CAMEJO ,7 ,0.54%
"Write In, if any ",8 ,0.62%
Total... ,"1,292 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1027 ,82.89%
REP - MICHAEL ANDREW MONROE ,204 ,16.46%
"Write In, if any ",8 ,0.65%
Total... ,"1,239 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,751 ,39.76%
SGN - LAURENT ROSS ,180 ,9.53%
DEM - KWAME R. BROWN ,792 ,41.93%
IND - A.D. ''TONY'' DOMINGUEZ ,151 ,7.99%
"Write In, if any ",15 ,0.79%
Total... ,"1,889 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,796 ,78.97%
SGN - ADAM EIDINGER ,197 ,19.54%
"Write In, if any ",15 ,1.49%
Total... ,"1,008 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,52 ,5.04%
HUGH ALLEN ,195 ,18.90%
TOM DAWSON ,27 ,2.62%
DAVID A. JORDAN ,19 ,1.84%
LAURA McGIFFERT SLOVER ,301 ,29.17%
VICTOR REINOSO ,362 ,35.08%
MAI ABDUL RAHMAN ,73 ,7.07%
"Write In, if any ",3 ,0.29%
Total... ,"1,032 ",100.00%
Precinct 30,"",""
Registration & Turnout ,"","1,712"
Election Day Turnout ,1097 ,64.08%
Absentee Turnout ,170 ,9.93%
Total... ,"1,267 ",74.01%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,942 ,74.88%
SGN - COBB/LaMARCHE ,3 ,0.24%
LIB - BADNARIK/CAMPAGNA ,4 ,0.32%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,296 ,23.53%
IND - NADER/CAMEJO ,10 ,0.79%
"Write In, if any ",3 ,0.24%
Total... ,"1,258 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,954 ,78.65%
REP - MICHAEL ANDREW MONROE ,251 ,20.69%
"Write In, if any ",8 ,0.66%
Total... ,"1,213 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,882 ,47.14%
SGN - LAURENT ROSS ,107 ,5.72%
DEM - KWAME R. BROWN ,779 ,41.64%
IND - A.D. ''TONY'' DOMINGUEZ ,92 ,4.92%
"Write In, if any ",11 ,0.59%
Total... ,"1,871 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,760 ,81.46%
SGN - ADAM EIDINGER ,158 ,16.93%
"Write In, if any ",15 ,1.61%
Total... ,933 ,100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,39 ,3.52%
HUGH ALLEN ,291 ,26.24%
TOM DAWSON ,21 ,1.89%
DAVID A. JORDAN ,15 ,1.35%
LAURA McGIFFERT SLOVER ,346 ,31.20%
VICTOR REINOSO ,325 ,29.31%
MAI ABDUL RAHMAN ,69 ,6.22%
"Write In, if any ",3 ,0.27%
Total... ,"1,109 ",100.00%
Precinct 31,"",""
Registration & Turnout ,"","3,021"
Election Day Turnout ,1907 ,63.12%
Absentee Turnout ,406 ,13.44%
Total... ,"2,313 ",76.56%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1860 ,80.76%
SGN - COBB/LaMARCHE ,7 ,0.30%
LIB - BADNARIK/CAMPAGNA ,5 ,0.22%
SWP - HARRIS/TROWE ,2 ,0.09%
REP - BUSH/CHENEY ,404 ,17.54%
IND - NADER/CAMEJO ,15 ,0.65%
"Write In, if any ",10 ,0.43%
Total... ,"2,303 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1834 ,82.58%
REP - MICHAEL ANDREW MONROE ,373 ,16.79%
"Write In, if any ",14 ,0.63%
Total... ,"2,221 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1476 ,43.81%
SGN - LAURENT ROSS ,272 ,8.07%
DEM - KWAME R. BROWN ,1398 ,41.50%
IND - A.D. ''TONY'' DOMINGUEZ ,194 ,5.76%
"Write In, if any ",29 ,0.86%
Total... ,"3,369 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1397 ,78.70%
SGN - ADAM EIDINGER ,342 ,19.27%
"Write In, if any ",36 ,2.03%
Total... ,"1,775 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,56 ,2.81%
HUGH ALLEN ,615 ,30.90%
TOM DAWSON ,73 ,3.67%
DAVID A. JORDAN ,24 ,1.21%
LAURA McGIFFERT SLOVER ,565 ,28.39%
VICTOR REINOSO ,508 ,25.53%
MAI ABDUL RAHMAN ,140 ,7.04%
"Write In, if any ",9 ,0.45%
Total... ,"1,990 ",100.00%
Precinct 32,"",""
Registration & Turnout ,"","3,456"
Election Day Turnout ,1985 ,57.44%
Absentee Turnout ,414 ,11.98%
Total... ,"2,399 ",69.42%
ELECTORS OF PRESIDENT / VICE PRESIDENT ,"",(Final)
DEM - KERRY/EDWARDS ,1993 ,83.60%
SGN - COBB/LaMARCHE ,6 ,0.25%
LIB - BADNARIK/CAMPAGNA ,6 ,0.25%
SWP - HARRIS/TROWE ,0 ,0.00%
REP - BUSH/CHENEY ,357 ,14.97%
IND - NADER/CAMEJO ,16 ,0.67%
"Write In, if any ",6 ,0.25%
Total... ,"2,384 ",100.00%
DELEGATE TO THE U.S. HOUSE OF REPS ,"",(Final)
DEM - ELEANOR HOLMES NORTON ,1956 ,85.68%
REP - MICHAEL ANDREW MONROE ,310 ,13.58%
"Write In, if any ",17 ,0.74%
Total... ,"2,283 ",100.00%
AT-LARGE MEMBER OF THE COUNCIL ,"",(Final)
REP - CAROL SCHWARTZ ,1508 ,43.14%
SGN - LAURENT ROSS ,228 ,6.52%
DEM - KWAME R. BROWN ,1543 ,44.14%
IND - A.D. ''TONY'' DOMINGUEZ ,190 ,5.43%
"Write In, if any ",27 ,0.77%
Total... ,"3,496 ",100.00%
UNITED STATES REPRESENTATIVE ,"",(Final)
DEM - RAY BROWNE ,1471 ,81.86%
SGN - ADAM EIDINGER ,296 ,16.47%
"Write In, if any ",30 ,1.67%
Total... ,"1,797 ",100.00%
DISTRICT II MEMBER OF THE BOARD OF EDU ,"",(Final)
DWIGHT E. SINGLETON ,57 ,2.83%
HUGH ALLEN ,474 ,23.52%
TOM DAWSON ,44 ,2.18%
