office,party,candidate,votes
ANC FOR SMD 3G05,,Over Votes,0
ANC FOR SMD 3G05,,JERRY LEVINE,532
ANC FOR SMD 3G05,,Write In,24
ANC FOR SMD 3G06,,Under Votes,111
ANC FOR SMD 3G06,,Over Votes,0
ANC FOR SMD 3G06,,JIM MCCARTHY,405
ANC FOR SMD 3G06,,Write In,21
ANC FOR SMD 3G07,,Under Votes,175
ANC FOR SMD 3G07,,Over Votes,0
ANC FOR SMD 3G07,,JACK J. BURRIESCI,144
ANC FOR SMD 3G07,,CRIS FROMBOLUTI,263
ANC FOR SMD 3G07,,Write In,16
ANC FOR SMD 4A01,,Under Votes,170
ANC FOR SMD 4A01,,Over Votes,0
ANC FOR SMD 4A01,,CLARK JOHNSON,693
ANC FOR SMD 4A01,,Write In,34
ANC FOR SMD 4A02,,Under Votes,95
ANC FOR SMD 4A02,,Over Votes,0
ANC FOR SMD 4A02,,JOURDINIA SMITH BROWN,825
ANC FOR SMD 4A02,,Write In,7
ANC FOR SMD 4A03,,Under Votes,32
ANC FOR SMD 4A03,,Over Votes,0
ANC FOR SMD 4A03,,STEPHEN A. 'STEVE' WHATLEY,192
ANC FOR SMD 4A03,,ARLENE DAVIS,182
ANC FOR SMD 4A03,,Write In,4
ANC FOR SMD 4A04,,Under Votes,92
ANC FOR SMD 4A04,,Over Votes,0
ANC FOR SMD 4A04,,MARIAN C. BENNETT,462
ANC FOR SMD 4A04,,Write In,35
ANC FOR SMD 4A05,,Under Votes,81
ANC FOR SMD 4A05,,Over Votes,0
ANC FOR SMD 4A05,,HABIEBA SNOW ISRAEL,210
ANC FOR SMD 4A05,,Write In,13
ANC FOR SMD 4A06,,Under Votes,50
ANC FOR SMD 4A06,,Over Votes,0
ANC FOR SMD 4A06,,BRIAN J. LANG,210
ANC FOR SMD 4A06,,Write In,13
ANC FOR SMD 4A07,,Under Votes,85
ANC FOR SMD 4A07,,Over Votes,0
ANC FOR SMD 4A07,,DAVE WILSON,354
ANC FOR SMD 4A07,,Write In,16
ANC FOR SMD 4A08,,Under Votes,81
ANC FOR SMD 4A08,,Over Votes,0
ANC FOR SMD 4A08,,JEFF HILDEBRAND,305
ANC FOR SMD 4A08,,JAMES H. JONES,313
ANC FOR SMD 4A08,,Write In,10
ANC FOR SMD 4B01,,Under Votes,81
ANC FOR SMD 4B01,,Over Votes,0
ANC FOR SMD 4B01,,SARA GREEN,484
ANC FOR SMD 4B01,,Write In,13
ANC FOR SMD 4B02,,Under Votes,75
ANC FOR SMD 4B02,,Over Votes,0
ANC FOR SMD 4B02,,MICHAEL J. SINDRAM,106
ANC FOR SMD 4B02,,FAITH WHEELER,446
ANC FOR SMD 4B02,,Write In,30
ANC FOR SMD 4B03,,Under Votes,64
ANC FOR SMD 4B03,,Over Votes,0
ANC FOR SMD 4B03,,FREDERICK D. GRANT,447
ANC FOR SMD 4B03,,"ROBERT LONON, SR.",183
ANC FOR SMD 4B03,,Write In,5
ANC FOR SMD 4B04,,Under Votes,85
ANC FOR SMD 4B04,,Over Votes,0
ANC FOR SMD 4B04,,EVELENA McCUTCHEN,410
ANC FOR SMD 4B04,,WES HICKMAN,155
ANC FOR SMD 4B04,,Write In,13
ANC FOR SMD 4B05,,Under Votes,65
ANC FOR SMD 4B05,,Over Votes,0
ANC FOR SMD 4B05,,BLONDINE C. HUGHES,386
ANC FOR SMD 4B05,,Write In,10
ANC FOR SMD 4B06,,Under Votes,115
ANC FOR SMD 4B06,,Over Votes,1
ANC FOR SMD 4B06,,GLORIA D. PALMER,534
ANC FOR SMD 4B06,,Write In,26
ANC FOR SMD 4B07,,Under Votes,56
ANC FOR SMD 4B07,,Over Votes,0
ANC FOR SMD 4B07,,KEITH V. WHITE,150
ANC FOR SMD 4B07,,JUDI JONES,397
ANC FOR SMD 4B07,,Write In,9
ANC FOR SMD 4B08,,Under Votes,77
ANC FOR SMD 4B08,,Over Votes,0
ANC FOR SMD 4B08,,YVONNE A. JEFFERSON,311
ANC FOR SMD 4B08,,CHERITA 'COOKIE' WHITING,283
ANC FOR SMD 4B08,,Write In,12
ANC FOR SMD 4B09,,Under Votes,84
ANC FOR SMD 4B09,,Over Votes,0
ANC FOR SMD 4B09,,MURIEL  E. BOWSER,601
ANC FOR SMD 4B09,,Write In,70
ANC FOR SMD 4C01,,Under Votes,356
ANC FOR SMD 4C01,,Over Votes,0
ANC FOR SMD 4C01,,Write In,77
ANC FOR SMD 4C02,,Under Votes,129
ANC FOR SMD 4C02,,Over Votes,0
ANC FOR SMD 4C02,,DAMIAN A. NICKENS,236
ANC FOR SMD 4C02,,TOM DAWSON,180
ANC FOR SMD 4C02,,Write In,12
ANC FOR SMD 4C03,,Under Votes,101
ANC FOR SMD 4C03,,Over Votes,0
ANC FOR SMD 4C03,,RONALD P. BLAND,388
ANC FOR SMD 4C03,,Write In,22
ANC FOR SMD 4C04,,Under Votes,44
ANC FOR SMD 4C04,,Over Votes,0
ANC FOR SMD 4C04,,MAGGIE BISCARR,159
ANC FOR SMD 4C04,,Write In,5
ANC FOR SMD 4C05,,Under Votes,96
ANC FOR SMD 4C05,,Over Votes,0
ANC FOR SMD 4C05,,LOUIS WASSEL,308
ANC FOR SMD 4C05,,Write In,10
ANC FOR SMD 4C06,,Under Votes,285
ANC FOR SMD 4C06,,Over Votes,0
ANC FOR SMD 4C06,,Write In,26
ANC FOR SMD 4C07,,Under Votes,54
ANC FOR SMD 4C07,,Over Votes,0
ANC FOR SMD 4C07,,SHANEL O. ANTHONY,369
ANC FOR SMD 4C07,,Write In,7
ANC FOR SMD 4C08,,Under Votes,32
ANC FOR SMD 4C08,,Over Votes,0
ANC FOR SMD 4C08,,TIMOTHY A. JONES,213
ANC FOR SMD 4C08,,MICHELLE ESCUMBISE,198
ANC FOR SMD 4C08,,Write In,4
ANC FOR SMD 4C09,,Under Votes,55
ANC FOR SMD 4C09,,Over Votes,0
ANC FOR SMD 4C09,,JOSEPH MARTIN,419
ANC FOR SMD 4C09,,Write In,21
ANC FOR SMD 4C10,,Under Votes,72
ANC FOR SMD 4C10,,Over Votes,0
ANC FOR SMD 4C10,,KEVIN E. HUMMONS,253
ANC FOR SMD 4C10,,JOSEPH C. HENSON,175
ANC FOR SMD 4C10,,Write In,10
ANC FOR SMD 4D01,,Under Votes,38
ANC FOR SMD 4D01,,Over Votes,0
ANC FOR SMD 4D01,,JOSHUA LOPEZ,167
ANC FOR SMD 4D01,,Write In,33
ANC FOR SMD 4D02,,Under Votes,56
ANC FOR SMD 4D02,,Over Votes,0
ANC FOR SMD 4D02,,RENEE L. BOWSER,474
ANC FOR SMD 4D02,,Write In,8
ANC FOR SMD 4D03,,Under Votes,109
ANC FOR SMD 4D03,,Over Votes,0
ANC FOR SMD 4D03,,ROBERT L. WHIDDON,409
ANC FOR SMD 4D03,,Write In,47
ANC FOR SMD 4D04,,Under Votes,352
ANC FOR SMD 4D04,,Over Votes,0
ANC FOR SMD 4D04,,Write In,112
ANC FOR SMD 4D05,,Under Votes,90
ANC FOR SMD 4D05,,Over Votes,0
ANC FOR SMD 4D05,,EVERETT D. LOTT,345
ANC FOR SMD 4D05,,Write In,14
ANC FOR SMD 4D06,,Under Votes,43
ANC FOR SMD 4D06,,Over Votes,0
ANC FOR SMD 4D06,,LUCRETIA HOCKADAY,222
ANC FOR SMD 4D06,,BILL QUIRK,162
ANC FOR SMD 4D06,,Write In,3
ANC FOR SMD 5A01,,Under Votes,57
ANC FOR SMD 5A01,,Over Votes,0
ANC FOR SMD 5A01,,SANDI WASHINGTON,254
ANC FOR SMD 5A01,,Write In,26
ANC FOR SMD 5A02,,Under Votes,66
ANC FOR SMD 5A02,,Over Votes,0
ANC FOR SMD 5A02,,PATRICIA ROBERTS,666
ANC FOR SMD 5A02,,Write In,9
ANC FOR SMD 5A03,,Under Votes,44
ANC FOR SMD 5A03,,Over Votes,0
ANC FOR SMD 5A03,,ANGEL ALSTON,428
ANC FOR SMD 5A03,,DOMINIQUE N.A. WEST,222
ANC FOR SMD 5A03,,Write In,5
ANC FOR SMD 5A04,,Under Votes,44
ANC FOR SMD 5A04,,Over Votes,2
ANC FOR SMD 5A04,,BELINDA 'BB' BELL,255
ANC FOR SMD 5A04,,SHIRLEE G. HOFFMAN,94
ANC FOR SMD 5A04,,CYNTHIA M. REID,311
ANC FOR SMD 5A04,,Write In,9
ANC FOR SMD 5A05,,Under Votes,500
ANC FOR SMD 5A05,,Over Votes,0
ANC FOR SMD 5A05,,Write In,121
ANC FOR SMD 5A06,,Under Votes,39
ANC FOR SMD 5A06,,Over Votes,0
ANC FOR SMD 5A06,,MARY BAIRD-CURRIE,253
ANC FOR SMD 5A06,,GREG JACKSON,227
ANC FOR SMD 5A06,,Write In,6
ANC FOR SMD 5A07,,Under Votes,90
ANC FOR SMD 5A07,,Over Votes,0
ANC FOR SMD 5A07,,WILLIAM B. BOSTON,447
ANC FOR SMD 5A07,,Write In,50
ANC FOR SMD 5A08,,Under Votes,97
ANC FOR SMD 5A08,,Over Votes,0
ANC FOR SMD 5A08,,TIMOTHY THOMAS,608
ANC FOR SMD 5A08,,Write In,30
ANC FOR SMD 5A09,,Under Votes,634
ANC FOR SMD 5A09,,Over Votes,0
ANC FOR SMD 5A09,,Write In,142
ANC FOR SMD 5A10,,Under Votes,105
ANC FOR SMD 5A10,,Over Votes,0
ANC FOR SMD 5A10,,"JHAZ PHIFER, SR.",473
ANC FOR SMD 5A10,,Write In,30
ANC FOR SMD 5A11,,Under Votes,47
ANC FOR SMD 5A11,,Over Votes,0
ANC FOR SMD 5A11,,FRANKLYN M. MALONE,258
ANC FOR SMD 5A11,,JANAE GRANT,315
ANC FOR SMD 5A11,,Write In,8
ANC FOR SMD 5A12,,Under Votes,91
ANC FOR SMD 5A12,,Over Votes,0
ANC FOR SMD 5A12,,ROBERT 'BOB' KING,659
ANC FOR SMD 5A12,,Write In,35
ANC FOR SMD 5B01,,Under Votes,25
ANC FOR SMD 5B01,,Over Votes,0
ANC FOR SMD 5B01,,WILLIAM C. SHELTON,269
ANC FOR SMD 5B01,,Write In,21
ANC FOR SMD 5B02,,Under Votes,56
ANC FOR SMD 5B02,,Over Votes,0
ANC FOR SMD 5B02,,PATRICIA BROWN-DANIELS,349
ANC FOR SMD 5B02,,Write In,29
ANC FOR SMD 5B03,,Under Votes,49
ANC FOR SMD 5B03,,Over Votes,0
ANC FOR SMD 5B03,,RAYMOND W. CHANDLER,172
ANC FOR SMD 5B03,,A.THOMAS JORDAN,145
ANC FOR SMD 5B03,,Write In,45
ANC FOR SMD 5B04,,Under Votes,88
ANC FOR SMD 5B04,,Over Votes,0
ANC FOR SMD 5B04,,RAYSEEN WOODLAND,470
ANC FOR SMD 5B04,,Write In,68
ANC FOR SMD 5B05,,Under Votes,210
ANC FOR SMD 5B05,,Over Votes,0
ANC FOR SMD 5B05,,Write In,60
ANC FOR SMD 5B06,,Under Votes,15
ANC FOR SMD 5B06,,Over Votes,0
ANC FOR SMD 5B06,,GEORGE JACKSON,70
ANC FOR SMD 5B06,,WILHELMINA LAWSON,98
ANC FOR SMD 5B06,,Write In,13
ANC FOR SMD 5B07,,Under Votes,236
ANC FOR SMD 5B07,,Over Votes,0
ANC FOR SMD 5B07,,Write In,66
ANC FOR SMD 5B08,,Under Votes,313
ANC FOR SMD 5B08,,Over Votes,0
ANC FOR SMD 5B08,,Write In,74
ANC FOR SMD 5B09,,Under Votes,51
ANC FOR SMD 5B09,,Over Votes,0
ANC FOR SMD 5B09,,JOAN BLACK,282
ANC FOR SMD 5B09,,Write In,35
ANC FOR SMD 5B10,,Under Votes,63
ANC FOR SMD 5B10,,Over Votes,0
ANC FOR SMD 5B10,,INDIA HENDERSON,145
ANC FOR SMD 5B10,,Write In,120
ANC FOR SMD 5B11,,Under Votes,42
ANC FOR SMD 5B11,,Over Votes,0
ANC FOR SMD 5B11,,"WILLIAM H. 'BILL' MYERS, JR.",225
ANC FOR SMD 5B11,,Write In,9
ANC FOR SMD 5B12,,Under Votes,38
ANC FOR SMD 5B12,,Over Votes,0
ANC FOR SMD 5B12,,JOSEPH L. PAUL,150
ANC FOR SMD 5B12,,Write In,12
ANC FOR SMD 5C01,,Under Votes,54
ANC FOR SMD 5C01,,Over Votes,0
ANC FOR SMD 5C01,,ANITA  BONDS,353
ANC FOR SMD 5C01,,Write In,36
ANC FOR SMD 5C02,,Under Votes,16
ANC FOR SMD 5C02,,Over Votes,2
ANC FOR SMD 5C02,,CLEOPATRA JONES,164
ANC FOR SMD 5C02,,KRIS HAMMOND,203
ANC FOR SMD 5C02,,Write In,9
ANC FOR SMD 5C03,,Under Votes,47
ANC FOR SMD 5C03,,Over Votes,0
ANC FOR SMD 5C03,,STUART DAVENPORT,251
ANC FOR SMD 5C03,,ANDREW C. POLLARD,115
ANC FOR SMD 5C03,,Write In,106
ANC FOR SMD 5C04,,Under Votes,38
ANC FOR SMD 5C04,,Over Votes,0
ANC FOR SMD 5C04,,JOHN T. SALATTI,382
ANC FOR SMD 5C04,,ROBERT 'BOB' BRANNUM,150
ANC FOR SMD 5C04,,Write In,11
ANC FOR SMD 5C05,,Under Votes,260
ANC FOR SMD 5C05,,Over Votes,0
ANC FOR SMD 5C05,,Write In,38
ANC FOR SMD 5C06,,Under Votes,40
ANC FOR SMD 5C06,,Over Votes,1
ANC FOR SMD 5C06,,MARY L. FARMER-ALLEN,203
ANC FOR SMD 5C06,,STEPHANIE WHITE,67
ANC FOR SMD 5C06,,MICHAEL J. HENDERSON,147
ANC FOR SMD 5C06,,Write In,7
ANC FOR SMD 5C07,,Under Votes,70
ANC FOR SMD 5C07,,Over Votes,0
ANC FOR SMD 5C07,,BARRIE DANEKER,350
ANC FOR SMD 5C07,,Write In,20
ANC FOR SMD 5C08,,Under Votes,50
ANC FOR SMD 5C08,,Over Votes,0
ANC FOR SMD 5C08,,"MARSHALL R. PHILLIPS, SR.",279
ANC FOR SMD 5C08,,Write In,8
ANC FOR SMD 5C09,,Under Votes,55
ANC FOR SMD 5C09,,Over Votes,0
ANC FOR SMD 5C09,,"SILAS H. GRANT, JR.",330
ANC FOR SMD 5C09,,Write In,16
ANC FOR SMD 5C10,,Under Votes,70
ANC FOR SMD 5C10,,Over Votes,0
ANC FOR SMD 5C10,,Write In,3
ANC FOR SMD 5C11,,Under Votes,121
ANC FOR SMD 5C11,,Over Votes,0
ANC FOR SMD 5C11,,Write In,25
ANC FOR SMD 5C12,,Under Votes,69
ANC FOR SMD 5C12,,Over Votes,0
ANC FOR SMD 5C12,,"DERRICK O. HOLLOWAY, SR.",261
ANC FOR SMD 5C12,,Write In,99
ANC FOR SMD 6A01,,Under Votes,51
ANC FOR SMD 6A01,,Over Votes,0
ANC FOR SMD 6A01,,RAPHAEL V. MARSHALL,359
ANC FOR SMD 6A01,,Write In,14
ANC FOR SMD 6A02,,Under Votes,115
ANC FOR SMD 6A02,,Over Votes,0
ANC FOR SMD 6A02,,JOSEPH FENGLER,424
ANC FOR SMD 6A02,,Write In,16
ANC FOR SMD 6A03,,Under Votes,103
ANC FOR SMD 6A03,,Over Votes,0
ANC FOR SMD 6A03,,DAVID HOLMES,432
ANC FOR SMD 6A03,,JESSE B. RAUCH,243
ANC FOR SMD 6A03,,Write In,9
ANC FOR SMD 6A04,,Under Votes,131
ANC FOR SMD 6A04,,Over Votes,0
ANC FOR SMD 6A04,,NICK ALBERTI,512
ANC FOR SMD 6A04,,Write In,25
ANC FOR SMD 6A05,,Under Votes,143
ANC FOR SMD 6A05,,Over Votes,0
ANC FOR SMD 6A05,,MARY BEATTY,479
ANC FOR SMD 6A05,,Write In,30
ANC FOR SMD 6A06,,Under Votes,89
ANC FOR SMD 6A06,,Over Votes,0
ANC FOR SMD 6A06,,MICHELLE GRIFKA,149
ANC FOR SMD 6A06,,WILLIAM SCHULTHEISS,245
ANC FOR SMD 6A06,,H.J. AMONS SR.,112
ANC FOR SMD 6A06,,Write In,13
ANC FOR SMD 6A07,,Under Votes,28
ANC FOR SMD 6A07,,Over Votes,0
ANC FOR SMD 6A07,,LINSTON TERRY,39
ANC FOR SMD 6A07,,GLADYS ANN MACK,167
ANC FOR SMD 6A07,,CHARLIE LUCAS,62
ANC FOR SMD 6A07,,Write In,7
ANC FOR SMD 6A08,,Under Votes,47
ANC FOR SMD 6A08,,Over Votes,2
ANC FOR SMD 6A08,,STEPHANIE NIXON,245
ANC FOR SMD 6A08,,MFON S. IBANGHA ('ISM'),117
ANC FOR SMD 6A08,,Write In,12
ANC FOR SMD 6B01,,Under Votes,148
ANC FOR SMD 6B01,,Over Votes,0
ANC FOR SMD 6B01,,DAVID GARRISON,373
ANC FOR SMD 6B01,,Write In,18
ANC FOR SMD 6B02,,Under Votes,187
ANC FOR SMD 6B02,,Over Votes,0
ANC FOR SMD 6B02,,MARY WRIGHT,481
ANC FOR SMD 6B02,,Write In,20
ANC FOR SMD 6B03,,Under Votes,171
ANC FOR SMD 6B03,,Over Votes,0
ANC FOR SMD 6B03,,JULIE S. OLSON,541
ANC FOR SMD 6B03,,Write In,18
ANC FOR SMD 6B04,,Under Votes,162
ANC FOR SMD 6B04,,Over Votes,0
ANC FOR SMD 6B04,,DANIEL J. OSTERGAARD,406
ANC FOR SMD 6B04,,Write In,19
ANC FOR SMD 6B05,,Under Votes,187
ANC FOR SMD 6B05,,Over Votes,0
ANC FOR SMD 6B05,,KENAN JARBOE,532
ANC FOR SMD 6B05,,Write In,20
ANC FOR SMD 6B06,,Under Votes,105
ANC FOR SMD 6B06,,Over Votes,0
ANC FOR SMD 6B06,,WILBERT 'WILL' HILL,472
ANC FOR SMD 6B06,,Write In,14
ANC FOR SMD 6B07,,Under Votes,283
ANC FOR SMD 6B07,,Over Votes,0
ANC FOR SMD 6B07,,Write In,42
ANC FOR SMD 6B08,,Under Votes,142
ANC FOR SMD 6B08,,Over Votes,0
ANC FOR SMD 6B08,,NEIL GLICK,540
ANC FOR SMD 6B08,,Write In,20
ANC FOR SMD 6B09,,Under Votes,92
ANC FOR SMD 6B09,,Over Votes,0
ANC FOR SMD 6B09,,ANTONETTE E. RUSSELL,430
ANC FOR SMD 6B09,,Write In,20
ANC FOR SMD 6B10,,Under Votes,69
ANC FOR SMD 6B10,,Over Votes,0
ANC FOR SMD 6B10,,FRANCIS M. CAMPBELL,407
ANC FOR SMD 6B10,,Write In,10
ANC FOR SMD 6B11,,Under Votes,0
ANC FOR SMD 6B11,,Over Votes,0
ANC FOR SMD 6B11,,Write In,0
ANC FOR SMD 6C01,,Under Votes,50
ANC FOR SMD 6C01,,Over Votes,0
ANC FOR SMD 6C01,,KEITH SILVER,145
ANC FOR SMD 6C01,,Write In,3
ANC FOR SMD 6C02,,Under Votes,37
ANC FOR SMD 6C02,,Over Votes,0
ANC FOR SMD 6C02,,MARK A. DIXON,180
ANC FOR SMD 6C02,,Write In,14
ANC FOR SMD 6C03,,Under Votes,29
ANC FOR SMD 6C03,,Over Votes,0
ANC FOR SMD 6C03,,LENA A. BROWN,131
ANC FOR SMD 6C03,,Write In,3
ANC FOR SMD 6C04,,Under Votes,359
ANC FOR SMD 6C04,,Over Votes,0
ANC FOR SMD 6C04,,Write In,103
ANC FOR SMD 6C05,,Under Votes,118
ANC FOR SMD 6C05,,Over Votes,1
ANC FOR SMD 6C05,,ALAN KIMBER,217
ANC FOR SMD 6C05,,ANTHONY RIVERA,213
ANC FOR SMD 6C05,,Write In,7
ANC FOR SMD 6C06,,Under Votes,208
ANC FOR SMD 6C06,,Over Votes,0
ANC FOR SMD 6C06,,TERRENCE HEUBERT,509
ANC FOR SMD 6C06,,Write In,26
ANC FOR SMD 6C07,,Under Votes,190
ANC FOR SMD 6C07,,Over Votes,0
ANC FOR SMD 6C07,,RYAN VELASCO,400
ANC FOR SMD 6C07,,Write In,24
ANC FOR SMD 6C08,,Under Votes,115
ANC FOR SMD 6C08,,Over Votes,0
ANC FOR SMD 6C08,,KAREN WIRT,296
ANC FOR SMD 6C08,,Write In,19
ANC FOR SMD 6C09,,Under Votes,112
ANC FOR SMD 6C09,,Over Votes,0
ANC FOR SMD 6C09,,CHARLEY DOCTER,308
ANC FOR SMD 6C09,,Write In,13
ANC FOR SMD 6D01,,Under Votes,196
ANC FOR SMD 6D01,,Over Votes,0
ANC FOR SMD 6D01,,MAX S. SKOLNIK,516
ANC FOR SMD 6D01,,Write In,19
ANC FOR SMD 6D02,,Under Votes,81
ANC FOR SMD 6D02,,Over Votes,0
ANC FOR SMD 6D02,,DAVID SOBELSOHN,312
ANC FOR SMD 6D02,,Write In,24
ANC FOR SMD 6D03,,Under Votes,32
ANC FOR SMD 6D03,,Over Votes,0
ANC FOR SMD 6D03,,MARY C. WILLIAMS,145
ANC FOR SMD 6D03,,RON McBEE,132
ANC FOR SMD 6D03,,Write In,5
ANC FOR SMD 6D04,,Under Votes,100
ANC FOR SMD 6D04,,Over Votes,0
ANC FOR SMD 6D04,,ANDY LITSKY,451
ANC FOR SMD 6D04,,Write In,16
ANC FOR SMD 6D05,,Under Votes,103
ANC FOR SMD 6D05,,Over Votes,0
ANC FOR SMD 6D05,,ROGER MOFFATT,482
ANC FOR SMD 6D05,,Write In,20
ANC FOR SMD 6D06,,Under Votes,38
ANC FOR SMD 6D06,,Over Votes,0
ANC FOR SMD 6D06,,RHONDA NATALIE HAMILTON,166
ANC FOR SMD 6D06,,AHMED ASSALAAM,104
ANC FOR SMD 6D06,,Write In,4
ANC FOR SMD 6D07,,Under Votes,5
ANC FOR SMD 6D07,,Over Votes,0
ANC FOR SMD 6D07,,BOB SIEGEL,61
ANC FOR SMD 6D07,,CALVIN T. McDANIEL,26
ANC FOR SMD 6D07,,Write In,1
ANC FOR SMD 7A01,,Under Votes,50
ANC FOR SMD 7A01,,Over Votes,0
ANC FOR SMD 7A01,,SHEILA M. CARSON CARR,150
ANC FOR SMD 7A01,,Write In,10
ANC FOR SMD 7A02,,Under Votes,430
ANC FOR SMD 7A02,,Over Votes,0
ANC FOR SMD 7A02,,Write In,104
ANC FOR SMD 7A03,,Under Votes,71
ANC FOR SMD 7A03,,Over Votes,0
ANC FOR SMD 7A03,,PRIDE HIETT,268
ANC FOR SMD 7A03,,Write In,29
ANC FOR SMD 7A04,,Under Votes,164
ANC FOR SMD 7A04,,Over Votes,0
ANC FOR SMD 7A04,,Write In,43
ANC FOR SMD 7A05,,Under Votes,58
ANC FOR SMD 7A05,,Over Votes,0
ANC FOR SMD 7A05,,KAREN SETTLES,211
ANC FOR SMD 7A05,,Write In,27
ANC FOR SMD 7A06,,Under Votes,77
ANC FOR SMD 7A06,,Over Votes,0
ANC FOR SMD 7A06,,JAMAL TURNER,367
ANC FOR SMD 7A06,,Write In,39
ANC FOR SMD 7A07,,Under Votes,74
ANC FOR SMD 7A07,,Over Votes,0
ANC FOR SMD 7A07,,VILLAREAL JOHNSON,383
ANC FOR SMD 7A07,,Write In,8
ANC FOR SMD 7B01,,Under Votes,51
ANC FOR SMD 7B01,,Over Votes,0
ANC FOR SMD 7B01,,LINDA (LE) S. ECKLES,279
ANC FOR SMD 7B01,,Write In,8
ANC FOR SMD 7B02,,Under Votes,73
ANC FOR SMD 7B02,,Over Votes,0
ANC FOR SMD 7B02,,HOWARD WAYS,397
ANC FOR SMD 7B02,,Write In,14
ANC FOR SMD 7B03,,Under Votes,48
ANC FOR SMD 7B03,,Over Votes,0
ANC FOR SMD 7B03,,L. YVONNE (L.Y.) MOORE,352
ANC FOR SMD 7B03,,Write In,11
ANC FOR SMD 7B04,,Under Votes,110
ANC FOR SMD 7B04,,Over Votes,0
ANC FOR SMD 7B04,,PHILLIP J. HAMMOND,740
ANC FOR SMD 7B04,,Write In,11
ANC FOR SMD 7B05,,Under Votes,78
ANC FOR SMD 7B05,,Over Votes,0
ANC FOR SMD 7B05,,ROBIN R. H. MARLIN,479
ANC FOR SMD 7B05,,Write In,12
ANC FOR SMD 7B06,,Under Votes,104
ANC FOR SMD 7B06,,Over Votes,0
ANC FOR SMD 7B06,,RAYMOND C. KEITH,598
ANC FOR SMD 7B06,,Write In,12
ANC FOR SMD 7B07,,Under Votes,120
ANC FOR SMD 7B07,,Over Votes,0
ANC FOR SMD 7B07,,S. THETUS BOYD,632
ANC FOR SMD 7B07,,Write In,12
ANC FOR SMD 7C01,,Under Votes,19
ANC FOR SMD 7C01,,Over Votes,0
ANC FOR SMD 7C01,,PATRICIA MALLOY,166
ANC FOR SMD 7C01,,HENRY HALL,64
ANC FOR SMD 7C01,,Write In,4
ANC FOR SMD 7C02,,Under Votes,47
ANC FOR SMD 7C02,,Over Votes,0
ANC FOR SMD 7C02,,GERI J. AVERYTT,238
ANC FOR SMD 7C02,,Write In,53
ANC FOR SMD 7C03,,Under Votes,53
ANC FOR SMD 7C03,,Over Votes,0
ANC FOR SMD 7C03,,CATHERINE A. WOODS,334
ANC FOR SMD 7C03,,Write In,12
ANC FOR SMD 7C04,,Under Votes,65
ANC FOR SMD 7C04,,Over Votes,0
ANC FOR SMD 7C04,,ALICE CHANDLER,349
ANC FOR SMD 7C04,,Write In,32
ANC FOR SMD 7C05,,Under Votes,9
ANC FOR SMD 7C05,,Over Votes,0
ANC FOR SMD 7C05,,WADELLE LAURA ANDERSON,79
ANC FOR SMD 7C05,,MARY L. GAFFNEY,145
ANC FOR SMD 7C05,,Write In,5
ANC FOR SMD 7C06,,Under Votes,325
ANC FOR SMD 7C06,,Over Votes,0
ANC FOR SMD 7C06,,Write In,54
ANC FOR SMD 7C07,,Under Votes,50
ANC FOR SMD 7C07,,Over Votes,0
ANC FOR SMD 7C07,,MURIEL CHAMBERS,288
ANC FOR SMD 7C07,,Write In,35
ANC FOR SMD 7D01,,Under Votes,26
ANC FOR SMD 7D01,,Over Votes,0
ANC FOR SMD 7D01,,VERONICA E. RAGLIN,265
ANC FOR SMD 7D01,,PATRICK JORDAN,200
ANC FOR SMD 7D01,,Write In,2
ANC FOR SMD 7D02,,Under Votes,47
ANC FOR SMD 7D02,,Over Votes,0
ANC FOR SMD 7D02,,SHARITA SLAYTON,361
ANC FOR SMD 7D02,,Write In,19
ANC FOR SMD 7D03,,Under Votes,34
ANC FOR SMD 7D03,,Over Votes,1
ANC FOR SMD 7D03,,DOROTHY DOUGLAS,179
ANC FOR SMD 7D03,,Write In,75
ANC FOR SMD 7D04,,Under Votes,109
ANC FOR SMD 7D04,,Over Votes,0
ANC FOR SMD 7D04,,WAREES MAJEED,502
ANC FOR SMD 7D04,,Write In,13
ANC FOR SMD 7D05,,Under Votes,86
ANC FOR SMD 7D05,,Over Votes,0
ANC FOR SMD 7D05,,RICK TINGLING-CLEMMONS,374
ANC FOR SMD 7D05,,Write In,25
ANC FOR SMD 7D06,,Under Votes,351
ANC FOR SMD 7D06,,Over Votes,0
ANC FOR SMD 7D06,,Write In,64
ANC FOR SMD 7D07,,Under Votes,180
ANC FOR SMD 7D07,,Over Votes,0
ANC FOR SMD 7D07,,Write In,16
ANC FOR SMD 7E01,,Under Votes,522
ANC FOR SMD 7E01,,Over Votes,0
ANC FOR SMD 7E01,,Write In,104
ANC FOR SMD 7E02,,Under Votes,472
ANC FOR SMD 7E02,,Over Votes,0
ANC FOR SMD 7E02,,Write In,56
ANC FOR SMD 7E03,,Under Votes,200
ANC FOR SMD 7E03,,Over Votes,0
ANC FOR SMD 7E03,,Write In,42
ANC FOR SMD 7E04,,Under Votes,273
ANC FOR SMD 7E04,,Over Votes,0
ANC FOR SMD 7E04,,Write In,45
ANC FOR SMD 7E05,,Under Votes,175
ANC FOR SMD 7E05,,Over Votes,0
ANC FOR SMD 7E05,,Write In,47
ANC FOR SMD 7E06,,Under Votes,80
ANC FOR SMD 7E06,,Over Votes,0
ANC FOR SMD 7E06,,DAVID INOUE,283
