ward,office,district,party,candidate,votes
2,WARD TWO MEMBER STATE BOARD OF EDUCATION                ,,NON,Jack Jacobson                         ,23176
2,WARD TWO MEMBER STATE BOARD OF EDUCATION                ,,NON,WRITE-IN                              ,494
2,WARD TWO MEMBER STATE BOARD OF EDUCATION                ,,   ,OVER VOTES                            ,3
2,WARD TWO MEMBER STATE BOARD OF EDUCATION                ,,   ,UNDER VOTES                           ,9235
3,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,994
3,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,522
3,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,3323
3,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,36475
3,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,1268
3,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,13
3,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,200
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,2580
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,33560
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,3924
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,541
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,17
3,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,2173
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,2172
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,2283
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,3840
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,7021
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,18440
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,28320
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,413
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,20
3,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,22257
3,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,16369
3,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,3061
3,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,10345
3,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,698
3,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,27
3,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,11883
4,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,376
4,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,732
4,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,1358
4,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,37962
4,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,569
4,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,34
4,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,139
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,1955
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,36095
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,1502
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,289
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,25
4,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,1304
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,1377
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,3377
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,3933
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,2303
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,16020
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,32218
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,520
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,20
4,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,22342
4,WARD FOUR MEMBER OF THE COUNCIL                         ,,DEM,Brandon Todd                          ,35100
4,WARD FOUR MEMBER OF THE COUNCIL                         ,,NON,WRITE-IN                              ,1813
4,WARD FOUR MEMBER OF THE COUNCIL                         ,,   ,OVER VOTES                            ,13
4,WARD FOUR MEMBER OF THE COUNCIL                         ,,   ,UNDER VOTES                           ,4129
4,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,12076
4,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,7966
4,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,11852
4,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,712
4,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,29
4,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,8420
4,WARD FOUR MEMBER STATE BOARD OF EDUCATION               ,,NON,Lannette Woodruff                     ,31562
4,WARD FOUR MEMBER STATE BOARD OF EDUCATION               ,,NON,WRITE-IN                              ,688
4,WARD FOUR MEMBER STATE BOARD OF EDUCATION               ,,   ,OVER VOTES                            ,7
4,WARD FOUR MEMBER STATE BOARD OF EDUCATION               ,,   ,UNDER VOTES                           ,8798
5,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,504
5,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,628
5,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,1141
5,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,37021
5,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,634
5,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,33
5,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,141
5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,1667
5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,35494
5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,1605
5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,261
5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,29
5,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,1046
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,1600
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,3926
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,4114
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,2211
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,13963
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,31825
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,503
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,18
5,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,21916
5,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,10161
5,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,8218
5,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,13596
5,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,727
5,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,24
5,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,7312
6,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,1187
6,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,605
6,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,2506
6,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,45540
6,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,1849
6,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,42
6,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,180
6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,2691
6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,42026
6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,4557
6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,773
6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,26
6,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,1836
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,3024
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,4027
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,4810
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,6758
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,20373
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,36753
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,670
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,14
6,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,26944
6,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,14939
6,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,6478
6,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,17592
6,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,1001
6,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,41
6,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,11636
7,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,186
7,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,420
7,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,547
7,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,31784
7,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,355
7,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,42
7,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,108
7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,781
7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,31045
7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,665
7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,132
7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,19
7,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,800
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,1024
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,3831
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,2761
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,1089
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,6460
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,28067
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,342
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,26
7,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,23260
7,WARD SEVEN MEMBER OF THE COUNCIL                        ,,IND,Gary Butler                           ,2367
7,WARD SEVEN MEMBER OF THE COUNCIL                        ,,IND,Christian Carter                      ,1837
7,WARD SEVEN MEMBER OF THE COUNCIL                        ,,DEM,Vincent C. Gray                       ,27956
7,WARD SEVEN MEMBER OF THE COUNCIL                        ,,NON,WRITE-IN                              ,237
7,WARD SEVEN MEMBER OF THE COUNCIL                        ,,   ,OVER VOTES                            ,27
7,WARD SEVEN MEMBER OF THE COUNCIL                        ,,   ,UNDER VOTES                           ,1006
7,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Mary Lord                             ,6077
7,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Tony Donaldson Jr.                   ,8305
7,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,Ashley Carter                         ,13702
7,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,NON,WRITE-IN                              ,417
7,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,OVER VOTES                            ,28
7,AT - LARGE MEMBER STATE BOARD OF EDUCATION              ,At Large,   ,UNDER VOTES                           ,4901
7,WARD SEVEN MEMBER STATE BOARD OF EDUCATION              ,,NON,Dorothy Douglas                       ,10804
7,WARD SEVEN MEMBER STATE BOARD OF EDUCATION              ,,NON,Marla M. Dean                         ,3819
7,WARD SEVEN MEMBER STATE BOARD OF EDUCATION              ,,NON,Karen Williams                        ,14057
7,WARD SEVEN MEMBER STATE BOARD OF EDUCATION              ,,NON,WRITE-IN                              ,323
7,WARD SEVEN MEMBER STATE BOARD OF EDUCATION              ,,   ,OVER VOTES                            ,22
7,WARD SEVEN MEMBER STATE BOARD OF EDUCATION              ,,   ,UNDER VOTES                           ,4405
8,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,LIB,Gary Johnson - Bill Weld              ,161
8,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,STG,Jill Stein - Ajamu Baraka             ,325
8,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,REP,Donald J. Trump - Michael R. Pence    ,478
8,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,DEM,Hillary Clinton - Tim Kaine           ,27844
8,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,NON,WRITE-IN                              ,284
8,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,OVER VOTES                            ,45
8,ELECTORS OF PRESIDENT AND VICE PRESIDENT                ,,   ,UNDER VOTES                           ,90
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,STG,Natale (Lino) Stracuzzi               ,696
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,DEM,Eleanor Holmes Norton                 ,26744
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,LIB,Martin Moulton                        ,722
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,NON,WRITE-IN                              ,86
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,OVER VOTES                            ,26
8,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES           ,,   ,UNDER VOTES                           ,953
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,LIB,Matthew Klokel                        ,942
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,John C. Cheeks                        ,2865
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,STG,G. Lee Aikin                          ,2274
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,REP,Carolina Celnik                       ,925
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,IND,David Grosso                          ,4539
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,DEM,Robert White                          ,24372
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,NON,WRITE-IN                              ,363
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,OVER VOTES                            ,26
8,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA   ,At Large,   ,UNDER VOTES                           ,22122
8,WARD EIGHT MEMBER OF THE COUNCIL                        ,,DEM,"Trayon ""Ward Eight"" White             ",27174
8,WARD EIGHT MEMBER OF THE COUNCIL                        ,,NON,WRITE-IN                              ,497
8,WARD EIGHT MEMBER OF THE COUNCIL                        ,,   ,OVER VOTES                            ,18
